date,total_confirmed,total_recovered,total_deaths,new_confirmed,new_deaths,active,daily_collected_sample,infectionRate(%),recoveryRate(%),mortalityRate(%),total_quarantine,now_in_quarantine,released_from_quarantine
2020-03-04,0,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0
2020-03-05,0,0,0,0,0,0,3,0.0,0.0,0.0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
2020-03-07,0,0,0,0,0,0,9,0.0,0.0,0.0,0,0,0
2020-03-08,3,0,0,3,0,3,7,42.86,0.0,0.0,0,0,0
2020-03-09,3,0,0,0,0,3,10,0.0,0.0,0.0,0,0,0
2020-03-10,3,0,0,0,0,3,10,0.0,0.0,0.0,0,0,0
2020-03-11,3,0,0,0,0,3,16,0.0,0.0,0.0,0,0,0
2020-03-12,3,2,0,0,0,1,24,0.0,66.67,0.0,0,0,0
2020-03-13,3,2,0,0,0,1,24,0.0,66.67,0.0,0,0,0
2020-03-14,3,2,0,0,0,1,30,0.0,66.67,0.0,0,0,0
2020-03-15,5,2,0,2,0,3,27,7.41,40.0,0.0,0,0,0
2020-03-16,8,2,0,3,0,6,25,12.0,25.0,0.0,0,0,0
2020-03-17,8,3,0,0,0,5,49,0.0,37.5,0.0,4836,3576,1260
2020-03-18,8,3,1,0,1,4,39,0.0,37.5,12.5,6393,4971,1422
2020-03-19,10,3,1,2,0,6,46,4.35,30.0,10.0,9106,7518,1588
2020-03-20,17,3,1,7,0,13,36,19.44,17.65,5.88,14264,12401,1863
2020-03-21,24,3,2,7,1,19,36,19.44,12.5,8.33,14264,12401,1863
2020-03-22,27,3,2,3,0,22,65,4.62,11.11,7.41,23684,19063,4621
2020-03-23,33,5,3,6,1,25,56,10.71,15.15,9.09,30796,24708,6088
2020-03-24,39,5,4,6,1,30,92,6.52,12.82,10.26,37038,27180,9858
2020-03-25,39,7,5,0,1,27,82,0.0,17.95,12.82,43262,30823,12839
2020-03-26,44,11,5,5,0,28,126,3.97,25.0,11.36,47361,30768,16593
2020-03-27,48,11,5,4,0,32,106,3.77,22.92,10.42,50735,29839,20896
2020-03-28,48,15,5,0,0,28,50,0.0,31.25,10.42,53442,28483,24959
2020-03-29,48,15,5,0,0,28,109,0.0,31.25,10.42,53442,28483,24959
2020-03-30,49,19,5,1,0,25,153,0.65,38.78,10.2,58101,24113,33988
2020-03-31,51,25,5,2,0,21,140,1.43,49.02,9.8,60015,21256,38759
2020-04-01,54,25,6,3,1,23,157,1.91,46.3,11.11,60170,17998,42712
2020-04-02,56,25,6,2,0,25,141,1.42,44.64,10.71,63154,17727,45427
2020-04-03,61,26,6,5,0,29,203,2.46,42.62,9.84,64484,16453,48031
2020-04-04,70,30,8,9,2,32,434,2.07,42.86,11.43,64953,13954,50999
2020-04-05,88,30,8,18,0,50,367,4.9,34.09,9.09,66071,12659,53412
2020-04-06,123,33,12,35,4,78,468,7.48,26.83,9.76,66810,11330,55480
2020-04-07,164,33,17,41,5,114,792,5.18,20.12,10.37,67448,10316,57132
2020-04-08,218,33,20,54,3,165,981,5.5,15.14,9.17,68324,10157,58167
2020-04-09,330,33,21,112,1,276,1097,10.21,10.0,6.36,69810,10787,59023
2020-04-10,424,33,27,94,6,364,1184,7.94,7.78,6.37,72284,12601,59683
2020-04-11,482,36,30,58,3,416,954,6.08,7.47,6.22,76574,16163,60411
2020-04-12,621,39,34,139,4,548,1340,10.37,6.28,5.48,81519,20525,60994
2020-04-13,803,42,39,182,5,722,1570,11.59,5.23,4.86,87687,24411,63276
2020-04-14,1012,42,46,209,7,924,1905,10.97,4.15,4.55,93199,28884,64315
2020-04-15,1231,49,50,219,4,1132,1740,12.59,3.98,4.06,104969,39389,65580
2020-04-16,1572,49,60,341,10,1463,2135,15.97,3.12,3.82,103079,36574,66505
2020-04-17,1838,58,75,266,15,1705,2190,12.15,3.16,4.08,0,0,0
2020-04-18,2144,66,84,306,9,1994,2114,14.47,3.08,3.92,0,0,0
